== Слот 1/engn-7.1.0/ == 929E-001177
#40-0001250926-0x66 2025-10-17 08:42:00 Ввод ключа проверки ЭП. Ручной
#41-1156337286-0x20 2025-10-17 08:47:15 Аутентификация. Норма
#42-1156286487-0x30 2025-10-17 08:47:38 Ввод КБ1. Норма
#43-1156338088-0x40 2025-10-17 08:47:57 Ввод КБ2. Норма
#44-0251017001-0x61 2025-10-17 08:47:57 Ввод ключей текущей серии
#45-0251017001-0x50 2025-10-17 09:39:40 Аварийное стирание ключей
#46-1156337286-0x20 2025-10-17 10:00:59 Аутентификация. Норма
#47-1156286510-0x30 2025-10-17 10:01:09 Ввод КБ1. Норма
#48-1156338658-0x40 2025-10-17 10:01:21 Ввод КБ2. Норма
#49-0251017004-0x61 2025-10-17 10:01:21 Ввод ключей текущей серии
#50-0251017004-0x50 2025-10-23 06:59:38 Аварийное стирание ключей
#51-1156337286-0x20 2025-10-23 07:06:40 Аутентификация. Норма
#52-1156286487-0x30 2025-10-23 07:06:50 Ввод КБ1. Норма
#53-1156338088-0x40 2025-10-23 07:07:00 Ввод КБ2. Норма
#54-0251023001-0x61 2025-10-23 07:07:00 Ввод ключей текущей серии
#55-0251023001-0x50 2025-10-23 07:09:10 Аварийное стирание ключей
#56-1156337286-0x20 2025-10-23 07:13:48 Аутентификация. Норма
#57-1156286510-0x30 2025-10-23 07:13:58 Ввод КБ1. Норма
#58-1156338658-0x40 2025-10-23 07:14:07 Ввод КБ2. Норма
#59-0251023002-0x61 2025-10-23 07:14:07 Ввод ключей текущей серии
#60-1156337286-0x20 2025-10-23 07:24:00 Аутентификация. Норма
#61-1156286510-0x30 2025-10-23 07:24:11 Ввод КБ1. Норма
#62-1156338658-0x40 2025-10-23 07:24:20 Ввод КБ2. Норма
#63-0251023003-0x62 2025-10-23 07:24:20 Ввод ключей следующей серии
#64-0251023002-0x50 2025-10-23 07:25:06 Аварийное стирание ключей
#65-0000000000-0x50 2025-10-23 07:25:08 Аварийное стирание ключей
#66-1156337286-0x20 2025-10-23 07:25:43 Аутентификация. Норма
#67-0985355658-0x30 2025-10-23 07:25:52 Ввод КБ1. Норма
#68-1148808973-0x40 2025-10-23 07:26:03 Ввод КБ2. Норма
#69-0251023004-0x61 2025-10-23 07:26:03 Ввод ключей текущей серии
#70-0251023004-0x50 2025-10-23 07:26:59 Аварийное стирание ключей
#71-1156337286-0x20 2025-10-23 07:27:36 Аутентификация. Норма
#72-1020880040-0x30 2025-10-23 07:27:47 Ввод КБ1. Норма
#73-1147952795-0x40 2025-10-23 07:27:57 Ввод КБ2. Норма
#74-0251023005-0x61 2025-10-23 07:27:57 Ввод ключей текущей серии
#75-1156337286-0x20 2025-10-23 08:20:22 Аутентификация. Норма
#76-0985355658-0x30 2025-10-23 08:20:34 Ввод КБ1. Норма
#77-1148808973-0x40 2025-10-23 08:20:43 Ввод КБ2. Норма
#78-0251023008-0x62 2025-10-23 08:20:43 Ввод ключей следующей серии
#79-0000000000-0x81 2025-10-23 08:20:52 Проверка соответствия ПО. Ошибка чтения файла Vector
#80-0251023005-0x50 2025-10-23 08:21:37 Аварийное стирание ключей
#81-1156337286-0x20 2025-10-23 08:22:40 Аутентификация. Норма
#82-1020879926-0x30 2025-10-23 08:22:51 Ввод КБ1. Норма
#83-1147953794-0x40 2025-10-23 08:23:01 Ввод КБ2. Норма
#84-0251023007-0x61 2025-10-23 08:23:01 Ввод ключей текущей серии
#85-0251023007-0x50 2025-10-23 08:23:47 Аварийное стирание ключей
#86-0000000000-0x50 2025-10-23 08:23:49 Аварийное стирание ключей
#87-1156337286-0x20 2025-10-23 08:24:27 Аутентификация. Норма
#88-1156286487-0x30 2025-10-23 08:24:46 Ввод КБ1. Норма
#89-1156338088-0x40 2025-10-23 08:24:55 Ввод КБ2. Норма
#90-0251023006-0x61 2025-10-23 08:24:55 Ввод ключей текущей серии
#91-1156337286-0x20 2025-10-28 10:02:52 Аутентификация. Норма
#92-0251023006-0x70 2025-10-28 10:02:57 Деинициализация
#93-0000000000-0x6a 2025-10-29 14:56:00 Время установлено
#94-1156337307-0x10 2025-10-29 14:56:01 Инициализация. Норма
#95-0001250926-0x66 2025-10-29 14:56:01 Ввод ключа проверки ЭП. Ручной
#96-1156337307-0x20 2025-10-29 14:56:26 Аутентификация. Норма
#97-1156286510-0x30 2025-10-29 14:56:38 Ввод КБ1. Норма
#98-1156338658-0x40 2025-10-29 14:56:50 Ввод КБ2. Норма
#99-0251029001-0x61 2025-10-29 14:56:50 Ввод ключей текущей серии
#100-0251029001-0x50 2025-10-30 07:17:38 Аварийное стирание ключей
#101-1156337307-0x20 2025-10-30 07:36:47 Аутентификация. Норма
#102-1156286510-0x30 2025-10-30 07:36:57 Ввод КБ1. Норма
#103-1156338658-0x40 2025-10-30 07:37:10 Ввод КБ2. Норма
#104-0251030001-0x61 2025-10-30 07:37:10 Ввод ключей текущей серии
#105-1156337307-0x20 2025-11-10 08:33:55 Аутентификация. Норма
#106-0251030001-0x70 2025-11-10 08:34:06 Деинициализация
#107-0000000000-0x6a 2025-11-10 08:57:00 Время установлено
#108-1156337264-0x10 2025-11-10 08:57:01 Инициализация. Норма
#109-0001250926-0x66 2025-11-10 08:57:01 Ввод ключа проверки ЭП. Ручной
#110-1156337264-0x20 2025-11-10 08:57:56 Аутентификация. Норма
#111-1147953198-0x30 2025-11-10 08:58:18 Ввод КБ1. Норма
#112-1147952976-0x40 2025-11-10 08:58:27 Ввод КБ2. Норма
#113-0251110001-0x61 2025-11-10 08:58:27 Ввод ключей текущей серии
#114-0000000000-0x6a 2025-11-13 12:02:00 Время установлено
#115-1156342858-0x10 2025-11-13 12:02:01 Инициализация. Норма
#116-0001250926-0x66 2025-11-13 12:02:01 Ввод ключа проверки ЭП. Ручной
#117-1156342858-0x20 2025-11-13 12:03:34 Аутентификация. Норма
#118-1156286315-0x30 2025-11-13 12:03:46 Ввод КБ1. Норма
#119-1156338039-0x40 2025-11-13 12:03:58 Ввод КБ2. Норма
#120-0251113002-0x61 2025-11-13 12:03:58 Ввод ключей текущей серии
